Repository URL	branch	libraries folder	Notes	source
https://github.com/harbaum/ftduino	master	ftduino/libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/hidnseek/hidnseek	master	arduino/libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/hunianhang/arduino_nufront	master	libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/Industruino/IndustruinoSAMD	master	libraries		
https://github.com/Infineon/XMC-for-Arduino	develop	arm/libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/INTI-CMNB/Lattuino_IP_Core	master	ide/libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/IntoRobot/IntoRobotPackages-ArduinoIDE	master		The package is only available in compressed files (on the release page) so there is no way to submit a PR	https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/ioteamit/ioteam-arduino-core	master		No libraries	https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/ioteamit/smarteverything-core	master	libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/JChristensen/mighty-1284p	v1.6.3		This has libraries but it's abandoned	
https://github.com/Jewelbots/arduino-library	master	jewelbots_solo_mode_v116/libraries	The use of a version number in the folder name is likely to break this on every release	
https://github.com/keyboardio/Kaleidoscope-Bundle-Keyboardio	master	avr/libraries		
https://github.com/keyboardio/Kaleidoscope-Bundle-Keyboardio	master	x86/libraries		
https://github.com/Lauszus/Sanguino	master		No libraries	https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/loathingKernel/ariadne-bootloader	master	libraries		
https://github.com/LowPowerLab/LowPowerLab.github.io	master		The package is only available in compressed files so there is no way to submit a PR	https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/macchina/arduino-boards-sam	master	sam/libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/makerlabmx/altair-arduinoide	master	avr/libraries		
https://github.com/MaximIntegratedMicros/arduino-max326xx	master	arm/libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/MCUdude/ButterflyCore	master	avr/libraries		
https://github.com/MCUdude/MajorCore	master	avr/libraries		
https://github.com/MCUdude/MegaCore	master	avr/libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/MCUdude/MicroCore	master	avr/libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/MCUdude/MightyCore	master	avr/libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/MCUdude/MiniCore	master	avr/libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/me-no-dev/RasPiArduino	master	libraries		
https://github.com/MediaTek-Labs/Arduino-Add-On-for-LinkIt-SDK	master	middleware/third_party/arduino/hardware/arduino/mt7697/libraries		
https://github.com/mikaelpatel/Cosa	master	libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/ms-iot/iot-utilities	master		No libraries	https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/NicoHood/HoodLoader2	dev206	avr/libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/OLIMEX/Arduino_configurations	master			https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/OLIMEX/Arduino_configurations	master		The package is only available in compressed files so there is no way to submit a PR	https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/OpenPanzerProject/OpenPanzerBoards	master		No libraries	https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/oshlab/Breadboard-Arduino	master		No libraries	https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/panStamp/arduino_avr	master	libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/panStamp/arduino_nrg	master	libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/per1234/Ariadne-Bootloader/	ariadne	libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/per1234/wirino	master		No libraries	https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/redbear/nRF5x	master	nRF51822/arduino/arduino-1.6.x/hardware/RBL/RBL_nRF51822/libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/redbear/nRF5x	master	nRF52832/arduino/arduino-1.8.0/hardware/RBL/RBL_nRF52832/libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/RiddleAndCode/RnCAtmega256RFR2/	master		The package is only available in compressed files so there is no way to submit a PR	https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
